id,number,title,state,created_at,closed_at,labels
2806024302,5168,[Bug] Clowning Around Blacephalon can Roll the Same Type Twice,open,2025-01-23T06:18:25Z,,"['Mystery Encounter', 'P2 Bug']"
2803134739,5164,[Bug] Trainers with Set Teams that include Slot Sub-Groups Cannot Spawn Unchosen Pokemon,open,2025-01-22T01:09:15Z,,['P2 Bug']
2800925818,5163,[Bug] Login Screen Buttons can be Pressed While Animating,open,2025-01-21T07:33:46Z,,['P3 Bug']
2799459270,5160,[Feature] Make egg inventory visible from any screen,open,2025-01-20T14:47:03Z,,"['Enhancement', 'Triage']"
2797913371,5159,"[Bug] Harsh Sun, Heavy Rain, and Delta Stream Messages Incorrect, Fail Message does not Exist.",open,2025-01-20T00:19:17Z,,"['Ability', 'P3 Bug']"
2797882883,5158,"[Bug] Legendary Weather (Desolate Land, Primordial Sea, Delta Stream) persist past Biome Transition, Trainer Transition, ME Transition",open,2025-01-19T23:16:46Z,,"['Mystery Encounter', 'P2 Bug']"
2797820310,5157,[Feature] wipe account data in manage data to start from scratch without making a new account,open,2025-01-19T20:40:27Z,,"['Enhancement', 'Triage']"
2797450500,5152,[Bug] Teleporting Hijinks does not Update Biome Text Immediately,open,2025-01-19T06:01:57Z,,"['Mystery Encounter', 'P3 Bug']"
2797426628,5151,[Bug] Training Session and The Expert Pokemon Breeder Allow the Player to have 7 Pokemon,open,2025-01-19T05:24:39Z,,"['Mystery Encounter', 'P2 Bug']"
2797414205,5150,"[Bug] Training Session Move Flyout Goes Negative when Move has been Affected by PP Up, PP Max",open,2025-01-19T04:40:21Z,,"['Mystery Encounter', 'P3 Bug']"
2797402671,5149,[Bug] Fun and Games plays Move Animations even if Off,open,2025-01-19T03:57:45Z,,"['Mystery Encounter', 'P3 Bug']"
2797401138,5148,[Bug],closed,2025-01-19T03:50:57Z,2025-01-19T03:51:17Z,[]
2796966770,5143,[Bug] infinite scorching hot,closed,2025-01-18T12:58:33Z,2025-01-19T01:59:30Z,[]
2796586289,5140,[Bug]  encounter.startOfBattleEffects.push Dancing Lessons and Uncommon Breed Conflate 0th Move with 1st move for Move History,open,2025-01-18T02:15:14Z,,"['Mystery Encounter', 'P2 Bug']"
2795522320,5138,[Feature] Condense stat change messages when multiple boss bars are broken,open,2025-01-17T13:46:44Z,,"['Enhancement', 'Triage']"
2789054148,5127,[Bug] Post-turn Healing and Damage does not Occur in the Proper Order,open,2025-01-15T07:40:07Z,,"['Move', 'Item', 'Refactor', 'P2 Bug']"
2788982113,5126,"[Bug] Salt Cure and Curse Share an Animation, Animation Always Appears on Opponent's Side",open,2025-01-15T06:52:45Z,,"['Move', 'Sprite/Animation', 'P3 Bug']"
2788508696,5123,[Bug] Releasing your Last Eligible Pokemon and Replacing it with an Ineligible Pokemon Softlocks the Game,open,2025-01-14T23:58:15Z,,['P1 Bug']
2784883698,5122,"[Bug] Certain Partial Trapping Moves (Whirlpool, Sand Tomb) Crash when the User and Opponent Faints at the Same Time",open,2025-01-13T18:18:32Z,,"['Move', 'P1 Bug']"
2783414430,5118,[Bug] Meltan is not filtered,closed,2025-01-13T09:18:05Z,2025-01-13T15:11:17Z,[]
2782729155,5116,[Bug] Pay Day should not award the Player Money if the Battle Ended by Flee or Capture.,open,2025-01-12T22:29:21Z,,"['Move', 'P2 Bug']"
2782293503,5115,[Bug] Endure and Endure Tokens Block most Secondary move and Ability Damage,open,2025-01-12T05:18:43Z,,"['Move', 'P2 Bug']"
2782290743,5114,[Bug] Reviver Seed activates on Secondary Move and Ability Damage,open,2025-01-12T05:08:04Z,,"['Item', 'P2 Bug']"
2782274909,5113,[Bug] Splash does not Display a Message when Used,open,2025-01-12T04:06:41Z,,"['Move', 'P3 Bug']"
2781520267,5112,"[Bug] Gorilla Tactics does not Register Protect, No Effect as Move Usage",open,2025-01-11T02:01:57Z,,"['Ability', 'P2 Bug']"
2781469192,5111,[Bug] Encore half-Fails when used Against a Move that was Protected Against,open,2025-01-11T00:36:32Z,,"['Move', 'P2 Bug']"
2779443939,5108,[Bug] Tera Shell Sometimes Ignores Type Immunities when Two-Turn Moves are Present in Opponent's Moveset,open,2025-01-10T07:03:05Z,,"['Ability', 'P2 Bug']"
2777374345,5106,[Bug] Can't change motisma 1st move in starter menu,closed,2025-01-09T10:03:03Z,2025-01-09T10:04:13Z,['Triage']
2776895851,5105,[Bug] Disable Selects First Move used by Target,open,2025-01-09T05:53:47Z,,"['Move', 'P2 Bug']"
2775876481,5102,[Bug] Catching charm does not have a guaranteed max weight in Daily Mode,closed,2025-01-08T16:56:55Z,2025-01-08T19:27:25Z,"['Item', 'P2 Bug']"
2774335800,5101,[Bug] Eviolite Deletes Itself when Transferred. Eviolite Behaves Strangely when Transferred to Another Pokemon with an Eviolite,open,2025-01-08T05:29:42Z,,"['Item', 'P2 Bug']"
2774157456,5100,[Bug] Harvest Deletes Every Berry Consumed in Memory after That Berry is Harvested,open,2025-01-08T03:14:29Z,,"['Ability', 'Item', 'P2 Bug']"
2773583493,5098,[Bug] Parting shot still switches even if stats weren't lowered,closed,2025-01-07T19:30:27Z,2025-01-08T03:29:01Z,['Duplicate']
2772837153,5096,[Feature] Too much water 7.8/10,open,2025-01-07T13:20:38Z,,"['Enhancement', 'Triage']"
2772800760,5095,[Feature] Have candy mark in starter menu more smart,open,2025-01-07T13:03:45Z,,"['Enhancement', 'Triage']"
2772780613,5094,[Bug] Meowstic backsprite too hight,open,2025-01-07T12:54:46Z,,['Triage']
2772011501,5093,[Bug] Harvested Berries Disappear After Reloading a Run,open,2025-01-07T06:33:32Z,,"['Ability', 'Item', 'P2 Bug']"
2771972289,5092,[Bug] Harvest Berries can Stack same-type Berries with Pokemon in the Party,open,2025-01-07T06:03:03Z,,"['Ability', 'Item', 'P2 Bug']"
2769569117,5090,[Bug] Recoil Moves don't Deal Recoil After Hitting a Substitute,open,2025-01-06T01:22:18Z,,"['Move', 'P2 Bug']"
2769487704,5088,[Bug] Torment does not Track Failed Moves,open,2025-01-05T22:50:59Z,,"['Move', 'P2 Bug']"
2769168172,5086,[Bug] Defog does not Clear Opposing Safeguard and Mist,closed,2025-01-05T08:22:31Z,2025-01-11T00:29:26Z,"['Move', 'P2 Bug']"
2769072794,5085,[Bug] Moves that apply Non-Volatile Status do not play a No Effect Message when Used Against an Immune Type.,open,2025-01-05T01:45:15Z,,"['Move', 'P3 Bug']"
2769052869,5084,[Bug] Moves that Inflict Non-Volatile Status Missing Fail Messages,open,2025-01-05T00:23:46Z,,"['Move', 'P3 Bug']"
2768967667,5082,[Bug] Nicknames not Properly Sanitized,open,2025-01-04T19:07:21Z,,"['UI/UX', 'P3 Bug']"
2768938793,5081,[Bug] Priority Moves used in Psychic Terrain Display Incorrect Battle Text,open,2025-01-04T17:38:46Z,,"['Move', 'P3 Bug']"
2768811434,5079,[Bug] Chest form Gimmighoul can't be hatched in Classic,closed,2025-01-04T12:13:12Z,2025-01-07T00:24:10Z,"['Miscellaneous', 'P2 Bug']"
2767606202,5074,[Bug] IV Scanner on eternatus + C touchepad,open,2025-01-03T13:47:28Z,,['Triage']
2767124299,5073,[Bug] Using Covet or Thief on a Harvested Berry Crashes the game,open,2025-01-03T07:43:28Z,,"['Move', 'Ability', 'Item', 'P1 Bug']"
2767051601,5072,[Bug] Account Log-in Page is Misleading,open,2025-01-03T06:32:05Z,,"['UI/UX', 'P3 Bug']"
2766922646,5069,"[Bug] Clear Body, White Smoke, and Mist Message Activate Twice when hit by a Move that Lowers Multiple Stats at Once ",open,2025-01-03T03:30:17Z,,"['Move', 'P3 Bug']"
2765336937,5067,[Bug] Twins Trainer Class Generates Pokémon with Identical IDs,open,2025-01-02T00:52:33Z,,['P2 Bug']
2765294327,5066,"[Bug] DefDefattr (Psyshock, Psystrike, Secret Sword) does not Consider Fur Coat in Damage Calculation",open,2025-01-01T22:47:42Z,,"['Move', 'Ability', 'P2 Bug']"
2765278694,5065,"[Bug] U Turn, Volt Switch, and Flip Turn do not Activate Shell Bell before Switching",open,2025-01-01T22:00:50Z,,"['Move', 'Item', 'P2 Bug']"
2764945971,5064,[Bug] Heavy Metal and Light Metal Flyouts appear during Ai Move Selection,open,2025-01-01T09:07:41Z,,"['Ability', 'P3 Bug']"
2764727518,5063,[Bug] Imposter Flyout Shows Gained Ability Instead of Imposter,open,2024-12-31T23:40:21Z,,"['Ability', 'P3 Bug']"
2764670030,5062,"[Bug] Transformed Fusion Primaries Crash When their Cry is Played; Summary Screen, Sound Move, Evo., Move Learn",open,2024-12-31T20:55:42Z,,"['Move', 'Ability', 'P1 Bug']"
2763798924,5056,"[Bug] Items/Modifiers Persist after a Wild Pokemon has Fled or been Force-Fled by Roar, Dragon Tail, Whirlwind, etc",open,2024-12-30T23:28:27Z,,"['Move', 'Item', 'P2 Bug']"
2762406117,5054,[Bug] Incorrect Transformation Items on Pokemon,closed,2024-12-29T21:08:38Z,2024-12-30T01:23:44Z,[]
2762103779,5052,"[Bug] Dancer should not add its moves to move history for the purposes of move calling moves (Instruct, Mirror Move, etc.)",open,2024-12-29T04:45:15Z,,"['Move', 'Ability', 'P2 Bug']"
2761438124,5051,[Bug] Sticky Web uses the Incorrect Text when Used by an Opposing Pokemon,open,2024-12-28T04:20:15Z,,['P3 Bug']
2761415983,5050,"[Bug] Electro Shot Checks Attract, Confusion, Truant on Both Parts Under Rain",open,2024-12-28T03:31:21Z,,"['Move', 'P2 Bug']"
2761311418,5048,"[Bug] Court Change Sticky Web does not Prevent the Stat Increase from Defiant/Competitive - CHECK SV, STALE INTERACTION",open,2024-12-27T22:16:43Z,,"['Move', 'P2 Bug']"
2761242063,5047,"[Bug] Court Change does not Swap Safeguard, Swamp, Rainbow, Sea of Fire",open,2024-12-27T20:18:02Z,,"['Move', 'P2 Bug']"
2761231246,5046,"[Bug] Court Change can Miss due to Opponent Semi-Invulnerability, Reduced Accuracy / Court Change does not Fail if used with no Valid Arena Tag Present",open,2024-12-27T20:02:02Z,,['P2 Bug']
2760384441,5043,[Bug] Encore Forces Struggle Indefinitely if Tag would Exist Past a Move's Final PP,open,2024-12-27T04:41:35Z,,"['Move', 'P2 Bug']"
2759087257,5041,"[Bug] Giratina Altered Forme has a HA, Origin Forme does not. This resets the HA if reverting forms.",open,2024-12-25T20:46:56Z,,['P2 Bug']
2757288671,5038,[Bug] Shedinja is Gendered after Nincada Evolves,closed,2024-12-24T06:50:03Z,2024-12-30T02:09:13Z,['P3 Bug']
2756736463,5036,"[Bug] Huge Power/Pure Power does not Increase, Slow Start does not Decrease the Damage of Body Press",open,2024-12-23T21:27:49Z,,"['Move', 'Ability', 'P2 Bug']"
2756472287,5035,[Bug] Enemy's Attract Persists Past that Pokemon being Forced Out,open,2024-12-23T17:32:27Z,,"['Move', 'P2 Bug']"
2754885911,5034,"[Bug] Mega, GMax, Origin, and more forms are not stored in caught data",closed,2024-12-22T23:01:18Z,2025-01-15T09:12:51Z,['P3 Bug']
2754710990,5033,[Bug] Healing Wish/Lunar Dance KOs the user even when it has no non-fainted teammates in the back,open,2024-12-22T15:29:05Z,,"['Move', 'P1 Bug']"
2754498814,5032,[Bug] Spread Move KOs Against Wimp Out/Emergency Exit in Double Battles Skip Waves if Left Side Fainted,open,2024-12-22T05:36:46Z,,"['Ability', 'P2 Bug']"
2754495693,5031,[Bug] Accepting Initial Switch from Wimp Out or Emergency Exit Does not Allow Use of First Turn Moves by New Pokemon,closed,2024-12-22T05:23:31Z,2024-12-29T13:00:26Z,['Duplicate']
2754433454,5030,[Bug] Ditto Quick Powder,closed,2024-12-22T01:24:31Z,2025-01-12T19:29:06Z,[]
2754290844,5029,[Bug] Memory Leak when Saving and Quitting,closed,2024-12-21T17:48:42Z,2025-01-15T09:06:11Z,['P0 Bug']
2753817110,5027,[Bug] Smack Down and Thousand Arrows do not Have a Message for Grounding,open,2024-12-21T07:12:06Z,,"['Move', 'P3 Bug']"
2753805053,5026,"[Localization] Party UI > ""able/notAble"" text should be diverged for some languages",open,2024-12-21T06:36:35Z,,"['Enhancement', 'Triage']"
2753803159,5025,"[Bug] Flower Trick, Smack Down, and Sappy Seed Activate Sheer Force",open,2024-12-21T06:31:42Z,,"['Move', 'P2 Bug']"
2753716064,5023,"[Bug] Critical Capture Sound is ""Demonic""",closed,2024-12-21T02:49:07Z,2025-01-16T06:21:21Z,"['P3 Bug', 'Audio']"
2753478476,5018,[Bug] Shell Armor and Battle Armor Activate with Every Hit,open,2024-12-20T21:02:04Z,,"['Ability', 'P3 Bug']"
2753457637,5017,[Bug] Direct Damage Moves Bypass Sturdy,open,2024-12-20T20:42:12Z,,"['Ability', 'P2 Bug']"
2749241161,5012,"[Bug] Mean Look, Block, and Spider Web do not Bypass Protection",open,2024-12-19T04:43:28Z,,"['Move', 'P2 Bug']"
2749201146,5011,[Bug] Helping Hand Cannot Target a Pokemon that is Semi-Invulnerable,open,2024-12-19T04:12:28Z,,"['Move', 'P2 Bug']"
2749175039,5010,[Bug] Roar does not Display a Fail Message when No Other Pokémon is Available,open,2024-12-19T03:43:05Z,,"['Move', 'P3 Bug']"
2746985013,5007,[Bug] Wild Pokemon that Use Parting Shot or Chilly Reception Flee the Battle,open,2024-12-18T07:12:22Z,,"['Move', 'P2 Bug']"
2746629869,5006,"[Bug] Enemy Pokemon do not take Damage from Hazards, or Activate their PostSummon Abilities in Double Battles while Having One Eligible Pokemon",open,2024-12-18T03:06:30Z,,"['Move', 'Ability', 'P2 Bug']"
2746499034,5005,[Bug] Stellar Terapagos and Mask-Tera'd Ogerpon Remain in Tera-Exclusive Forms when Other Tera Shard is Used,open,2024-12-18T01:24:14Z,,['P2 Bug']
2746474736,5004,[Bug] Embody Aspect Crashes Whenever Ogerpon is Recalled While not Present on the Field and Unfainted,open,2024-12-18T01:08:02Z,,"['Ability', 'P1 Bug']"
2743930656,5002,[Bug] Two-Turn Moves do not Redirect to Living Target if the Target is KO'd on First/Charge Turn,open,2024-12-17T04:55:27Z,,"['Move', 'P2 Bug']"
2743610492,5000,[Bug] Moody Can't Lower Stats at +6 ,open,2024-12-16T23:35:35Z,,"['Ability', 'P2 Bug']"
2743599393,4999,[Bug] Wild Yamper is a good Pupper and Returns Balls with Ball Fetch,open,2024-12-16T23:26:07Z,,"['Ability', 'P2 Bug']"
2743013523,4997,"[Bug] Run Away doesn't Enable Fleeing from Battles while Trapped, Disable Switching with Arena Trap",open,2024-12-16T17:45:42Z,,"['Ability', 'P2 Bug']"
2741733552,4995,[Bug] Trainer back sprite + pokémon back sprite in same time,closed,2024-12-16T08:48:37Z,2024-12-16T17:10:29Z,[]
2741665352,4994,[Bug] Soft Lock if second to last Pokemon faints between phases when battle type is uncertain,open,2024-12-16T08:23:32Z,,['P1 Bug']
2740985702,4993,[Bug] Dancer Increments the Pokemon's Frenzy Counter when Copying a Frenzy Move,open,2024-12-15T23:36:56Z,,"['Ability', 'P2 Bug']"
2740267195,4991,[Bug] Lunar Blessing game freeze/crash,closed,2024-12-15T04:11:08Z,2024-12-15T21:02:41Z,[]
2739960986,4990,[Bug] Can't unfuse,closed,2024-12-14T15:54:47Z,2024-12-21T07:55:23Z,['Duplicate']
2734934959,4987,[Bug] getWeight does not consider Pokemon's Forms' Difference in Weight,open,2024-12-12T05:58:28Z,,"['Move', 'P2 Bug']"
2730254496,4985,[Feature] Dockerisation of the app for easy try-for-yourself and self-hosting,open,2024-12-10T14:18:17Z,,['Enhancement']
2729846293,4983,[Bug] Damage done by player after getting hit by sucker punch is miscalculated,closed,2024-12-10T11:27:20Z,2024-12-10T14:57:51Z,[]
2729173027,4981,[Bug] Healer Attempts to Heal an Empty Slot of their Fainted Status,open,2024-12-10T06:43:13Z,,"['Ability', 'P3 Bug']"
2726076726,4980,[Bug] Safeguard does not Protect against Status Conditions from Tokens,open,2024-12-09T06:00:43Z,,"['Item', 'P2 Bug']"
2725936652,4979,[Bug] Tera Blast is Affected by Normalize while Terastallized,open,2024-12-09T04:14:18Z,,"['Move', 'P2 Bug']"
2725535231,4978,[Bug] Tera Blast and Tera Starstorm are Unaffected by Aerilate ,open,2024-12-08T21:26:09Z,,"['Move', 'P2 Bug']"
2724828406,4977,[Bug] Baton Item not working,closed,2024-12-07T21:53:56Z,2024-12-12T00:13:50Z,[]
